"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"AK",0,0,1-01-01,0,0,"ED 14, Alaska",0,0,NA,NA,"No voting data yet","02014","NA","lessThan20pctIn",NA,NA,NA,"ED 14, Alaska"
"AK",0,0,1-01-01,0,0,"ED 15, Alaska",0,0,NA,NA,"No voting data yet","02015","NA","lessThan20pctIn",NA,NA,NA,"ED 15, Alaska"
"AK",0,0,1-01-01,0,0,"ED 16, Alaska",0,0,NA,NA,"No voting data yet","02016","NA","lessThan20pctIn",NA,NA,NA,"ED 16, Alaska"
"AK",0,0,1-01-01,0,0,"ED 17, Alaska",0,0,NA,NA,"No voting data yet","02017","NA","lessThan20pctIn",NA,NA,NA,"ED 17, Alaska"
"AK",0,0,1-01-01,0,0,"ED 18, Alaska",0,0,NA,NA,"No voting data yet","02018","NA","lessThan20pctIn",NA,NA,NA,"ED 18, Alaska"
"AK",0,0,1-01-01,0,0,"ED 19, Alaska",0,0,NA,NA,"No voting data yet","02019","NA","lessThan20pctIn",NA,NA,NA,"ED 19, Alaska"
"AK",0,0,1-01-01,0,0,"ED 20, Alaska",0,0,NA,NA,"No voting data yet","02020","NA","lessThan20pctIn",NA,NA,NA,"ED 20, Alaska"
"AK",0,0,1-01-01,0,0,"ED 21, Alaska",0,0,NA,NA,"No voting data yet","02021","NA","lessThan20pctIn",NA,NA,NA,"ED 21, Alaska"
"AK",0,0,1-01-01,0,0,"ED 22, Alaska",0,0,NA,NA,"No voting data yet","02022","NA","lessThan20pctIn",NA,NA,NA,"ED 22, Alaska"
"AK",0,0,1-01-01,0,0,"ED 23, Alaska",0,0,NA,NA,"No voting data yet","02023","NA","lessThan20pctIn",NA,NA,NA,"ED 23, Alaska"
"AK",0,0,1-01-01,0,0,"ED 24, Alaska",0,0,NA,NA,"No voting data yet","02024","NA","lessThan20pctIn",NA,NA,NA,"ED 24, Alaska"
"AK",0,0,1-01-01,0,0,"ED 25, Alaska",0,0,NA,NA,"No voting data yet","02025","NA","lessThan20pctIn",NA,NA,NA,"ED 25, Alaska"
"AK",0,0,1-01-01,0,0,"ED 26, Alaska",0,0,NA,NA,"No voting data yet","02026","NA","lessThan20pctIn",NA,NA,NA,"ED 26, Alaska"
"AK",0,0,1-01-01,0,0,"ED 27, Alaska",0,0,NA,NA,"No voting data yet","02027","NA","lessThan20pctIn",NA,NA,NA,"ED 27, Alaska"
"AK",0,0,1-01-01,0,0,"ED 28, Alaska",0,0,NA,NA,"No voting data yet","02028","NA","lessThan20pctIn",NA,NA,NA,"ED 28, Alaska"
"AK",0,0,1-01-01,0,0,"ED 29, Alaska",0,0,NA,NA,"No voting data yet","02029","NA","lessThan20pctIn",NA,NA,NA,"ED 29, Alaska"
"AK",0,0,1-01-01,0,0,"ED 30, Alaska",0,0,NA,NA,"No voting data yet","02030","NA","lessThan20pctIn",NA,NA,NA,"ED 30, Alaska"
"AK",0,0,1-01-01,0,0,"ED 31, Alaska",0,0,NA,NA,"No voting data yet","02031","NA","lessThan20pctIn",NA,NA,NA,"ED 31, Alaska"
"AK",0,0,1-01-01,0,0,"ED 32, Alaska",0,0,NA,NA,"No voting data yet","02032","NA","lessThan20pctIn",NA,NA,NA,"ED 32, Alaska"
"AK",0,0,1-01-01,0,0,"ED 33, Alaska",0,0,NA,NA,"No voting data yet","02033","NA","lessThan20pctIn",NA,NA,NA,"ED 33, Alaska"
"AK",0,0,1-01-01,0,0,"ED 34, Alaska",0,0,NA,NA,"No voting data yet","02034","NA","lessThan20pctIn",NA,NA,NA,"ED 34, Alaska"
"AK",0,0,1-01-01,0,0,"ED 35, Alaska",0,0,NA,NA,"No voting data yet","02035","NA","lessThan20pctIn",NA,NA,NA,"ED 35, Alaska"
"AK",0,0,1-01-01,0,0,"ED 36, Alaska",0,0,NA,NA,"No voting data yet","02036","NA","lessThan20pctIn",NA,NA,NA,"ED 36, Alaska"
"AK",0,0,1-01-01,0,0,"ED 37, Alaska",0,0,NA,NA,"No voting data yet","02037","NA","lessThan20pctIn",NA,NA,NA,"ED 37, Alaska"
"AK",0,0,1-01-01,0,0,"ED 38, Alaska",0,0,NA,NA,"No voting data yet","02038","NA","lessThan20pctIn",NA,NA,NA,"ED 38, Alaska"
"AK",0,0,1-01-01,0,0,"ED 39, Alaska",0,0,NA,NA,"No voting data yet","02039","NA","lessThan20pctIn",NA,NA,NA,"ED 39, Alaska"
"AK",0,0,1-01-01,0,0,"ED 40, Alaska",0,0,NA,NA,"No voting data yet","02040","NA","lessThan20pctIn",NA,NA,NA,"ED 40, Alaska"
"AZ",0,0,1-01-01,0,0,"Apache County, Arizona",0,0,NA,NA,"No voting data yet","04001","NA","lessThan20pctIn",NA,NA,NA,NA
