"name","fips","precinctsOf","precinctsIn","pctPrecIn","pctExpVote","totalVote","ts","vote_Trump","vote_Biden","vote_Jorgensen","vote_Write-ins","pct_Trump","pct_Biden","pct_Jorgensen","pct_Write-ins","pct_diff","state","vote_Ventura","vote_Blankenship","vote_Pierce","vote_De La Fuente","pct_Ventura","pct_Blankenship","pct_Pierce","pct_De La Fuente","vote_La Riva","vote_Collins","vote_West","vote_Hawkins","vote_Gammon","vote_Carroll","vote_Myers","pct_La Riva","pct_Collins","pct_West","pct_Hawkins","pct_Gammon","pct_Carroll","pct_Myers"
"ED 13","2913",6,6,100,100,7765,"2021-01-11T15:01:36Z",4652,2666,308,52,59.9,34.3,4,0.7,25.6,"AK",40,16,25,6,0.5,0.2,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 14","2914",7,7,100,100,11534,"2021-01-11T15:01:53Z",6714,4261,356,91,58.2,36.9,3.1,0.8,21.3,"AK",50,46,10,6,0.4,0.4,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 15","2915",5,5,100,100,5593,"2021-01-11T15:02:08Z",2671,2622,197,34,47.8,46.9,3.5,0.6,0.899999999999999,"AK",36,10,13,10,0.6,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 16","2916",7,7,100,100,8170,"2021-01-26T16:15:34Z",3516,4274,210,52,43,52.3,2.6,0.6,-9.3,"AK",64,27,15,12,0.8,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 17","2917",7,7,100,100,7271,"2021-01-26T16:12:16Z",2810,4136,184,32,38.6,56.9,2.5,0.4,-18.3,"AK",64,18,18,9,0.9,0.2,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 18","2918",10,10,100,100,7759,"2021-01-26T16:12:22Z",2760,4681,157,39,35.6,60.3,2,0.5,-24.7,"AK",79,24,15,4,1,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 19","2919",6,6,100,100,5338,"2021-01-11T15:03:56Z",1975,3118,110,37,37,58.4,2.1,0.7,-21.4,"AK",52,22,11,13,1,0.4,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 20","2920",9,9,100,100,7544,"2021-01-26T16:12:19Z",2383,4881,153,47,31.6,64.7,2,0.6,-33.1,"AK",53,8,15,4,0.7,0.1,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 21","2921",8,8,100,100,9482,"2021-01-26T16:14:33Z",3690,5414,203,53,38.9,57.1,2.1,0.6,-18.2,"AK",70,29,19,4,0.7,0.3,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 22","2922",7,7,100,100,9597,"2021-01-11T15:04:46Z",4684,4553,200,77,48.8,47.4,2.1,0.8,1.4,"AK",46,16,18,3,0.5,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 23","2923",8,8,100,100,7796,"2021-01-11T15:05:03Z",3655,3810,170,57,46.9,48.9,2.2,0.7,-2,"AK",53,22,16,13,0.7,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 24","2924",7,7,100,100,10484,"2021-01-11T15:05:20Z",5378,4736,222,56,51.3,45.2,2.1,0.5,6.09999999999999,"AK",46,15,24,7,0.4,0.1,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 25","2925",7,7,100,100,9369,"2021-01-11T15:05:37Z",4407,4600,201,44,47,49.1,2.1,0.5,-2.1,"AK",67,21,14,15,0.7,0.2,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 26","2926",8,8,100,50.1724854,10181,"2021-01-11T15:05:51Z",5243,4558,207,70,51.5,44.8,2,0.7,6.7,"AK",55,23,23,2,0.5,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 27","2927",8,8,100,50.06566,9531,"2021-01-26T16:12:29Z",4324,4844,228,25,45.4,50.8,2.4,0.3,-5.4,"AK",59,21,24,6,0.6,0.2,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
